               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088626,            0.044949,            0.049419,             0.99259,             0.10245,             0.10933,            0.021219,            0.069629,            0.025806,            0.027555,              0.0721,              0.0031,              0.0031
                   1,            0.069792,            0.034734,            0.027537,             0.87906,             0.17186,              0.1879,            0.069314,            0.079999,            0.019084,            0.017742,            0.043258,           0.0062584,           0.0062584
                   2,            0.072452,            0.026273,            0.021709,             0.27492,             0.60982,             0.37619,             0.19285,            0.075531,            0.015774,            0.014853,            0.014375,           0.0093746,           0.0093746
                   3,            0.068042,            0.023257,            0.019276,             0.44436,             0.66109,             0.47126,             0.26092,            0.066462,            0.015293,             0.01281,            0.009802,            0.009802,            0.009802
                   4,            0.057924,            0.020321,            0.016388,             0.27902,             0.65979,              0.5075,              0.2984,            0.046855,            0.012551,            0.012516,            0.009802,            0.009802,            0.009802
                   5,            0.050381,            0.018573,            0.015034,             0.55876,             0.73324,             0.66134,             0.42069,            0.041453,            0.010473,             0.01159,            0.009736,            0.009736,            0.009736
                   6,            0.043875,            0.016977,            0.014065,             0.38626,             0.89147,             0.66498,             0.43878,            0.047627,            0.010889,            0.010946,             0.00967,             0.00967,             0.00967
                   7,            0.041927,            0.017298,            0.012739,             0.34869,             0.92996,             0.66508,             0.46423,            0.032824,           0.0098319,            0.010491,            0.009604,            0.009604,            0.009604
                   8,            0.038119,            0.016192,            0.011737,             0.44728,             0.97969,             0.70555,             0.44802,            0.034371,           0.0095663,            0.010707,            0.009538,            0.009538,            0.009538
                   9,            0.035042,            0.015607,            0.010863,             0.42044,             0.97969,             0.71232,              0.5721,            0.040024,           0.0096631,            0.010021,            0.009472,            0.009472,            0.009472
                  10,            0.034778,            0.015075,            0.010841,             0.64488,             0.84671,             0.76563,             0.58779,            0.024315,           0.0085931,            0.010586,            0.009406,            0.009406,            0.009406
                  11,            0.032593,            0.015216,            0.010606,              0.5771,             0.97969,             0.79142,             0.55065,            0.032406,           0.0090921,            0.010019,             0.00934,             0.00934,             0.00934
                  12,            0.032148,            0.014841,            0.010467,             0.77472,             0.81974,             0.76671,             0.53315,            0.024878,           0.0087838,            0.010093,            0.009274,            0.009274,            0.009274
                  13,            0.030099,            0.014246,           0.0098081,             0.80735,             0.83823,             0.81649,             0.57949,            0.028645,           0.0087507,           0.0096624,            0.009208,            0.009208,            0.009208
                  14,            0.029952,            0.014473,           0.0092216,             0.79621,             0.77116,             0.80535,              0.6661,            0.024456,            0.008307,           0.0093077,            0.009142,            0.009142,            0.009142
                  15,             0.02842,            0.013623,            0.009361,             0.82289,             0.82468,             0.80386,             0.67881,            0.020781,            0.008461,           0.0085196,            0.009076,            0.009076,            0.009076
                  16,            0.027742,             0.01428,           0.0086102,             0.78098,             0.80372,             0.82531,             0.58965,            0.025395,           0.0086231,           0.0080458,             0.00901,             0.00901,             0.00901
                  17,            0.027516,             0.01355,           0.0081773,             0.81272,             0.83084,             0.83479,             0.65015,            0.019723,           0.0083039,           0.0080513,            0.008944,            0.008944,            0.008944
                  18,            0.027426,            0.014013,           0.0079283,             0.79431,             0.90091,             0.88641,             0.72728,            0.022945,            0.008239,           0.0072054,            0.008878,            0.008878,            0.008878
                  19,            0.026224,            0.013977,           0.0076898,             0.82493,             0.91302,             0.91781,             0.73733,            0.020278,           0.0079966,           0.0069981,            0.008812,            0.008812,            0.008812
                  20,            0.026231,            0.012942,           0.0066748,             0.93723,             0.88861,             0.94253,             0.79062,            0.017479,           0.0077276,           0.0066002,            0.008746,            0.008746,            0.008746
                  21,            0.026649,            0.013675,           0.0061939,             0.93848,             0.91892,             0.95006,             0.78358,            0.018518,           0.0077837,           0.0057993,             0.00868,             0.00868,             0.00868
                  22,            0.025282,            0.013361,           0.0056438,             0.91829,             0.97047,             0.97366,             0.74566,             0.02072,           0.0080733,           0.0054193,            0.008614,            0.008614,            0.008614
                  23,            0.025698,            0.013739,           0.0052126,             0.87717,             0.97483,             0.96935,             0.81578,            0.018565,           0.0080206,           0.0049503,            0.008548,            0.008548,            0.008548
                  24,             0.02447,            0.012997,           0.0050131,             0.90061,             0.97563,             0.96606,             0.79203,            0.019907,           0.0081825,           0.0045069,            0.008482,            0.008482,            0.008482
                  25,            0.024968,            0.013129,           0.0045531,             0.93368,                0.95,             0.97329,              0.7904,             0.01959,           0.0080321,           0.0042442,            0.008416,            0.008416,            0.008416
                  26,            0.023713,            0.013479,           0.0043307,             0.95588,             0.97454,             0.97347,             0.83906,            0.018065,           0.0078957,           0.0038652,             0.00835,             0.00835,             0.00835
                  27,             0.02398,            0.012834,            0.003984,             0.95957,             0.96126,             0.96983,             0.84526,             0.01932,           0.0078144,           0.0037056,            0.008284,            0.008284,            0.008284
                  28,            0.023736,            0.012754,            0.003779,             0.96023,             0.97468,             0.97066,             0.80172,            0.018427,           0.0077178,           0.0037907,            0.008218,            0.008218,            0.008218
                  29,            0.023779,             0.01311,           0.0035958,             0.96236,             0.96064,             0.96837,              0.8345,            0.015827,           0.0074244,           0.0034812,            0.008152,            0.008152,            0.008152
                  30,            0.023159,            0.012472,           0.0035953,             0.89419,             0.97096,             0.96452,             0.80319,            0.015922,           0.0073872,            0.003603,            0.008086,            0.008086,            0.008086
                  31,            0.022549,            0.012509,           0.0035036,             0.95652,             0.96377,               0.973,             0.82241,             0.01803,           0.0077069,           0.0031384,             0.00802,             0.00802,             0.00802
                  32,             0.02258,            0.012639,           0.0031318,             0.96653,             0.96661,             0.97466,             0.85439,            0.014461,           0.0070846,           0.0032418,            0.007954,            0.007954,            0.007954
                  33,             0.02182,            0.012223,           0.0031491,             0.95996,             0.97248,             0.97199,             0.86428,            0.015154,           0.0076997,           0.0031146,            0.007888,            0.007888,            0.007888
